"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","2.0839","2.0586","2.1482","2.0136","25.96M","1.24%"
"12/30/2024","2.0583","2.0939","2.1526","1.9989","49.49M","-1.70%"
"12/29/2024","2.0940","2.1846","2.1979","2.0716","17.13M","-4.13%"
"12/28/2024","2.1841","2.1466","2.2075","2.1344","13.73M","1.77%"
"12/27/2024","2.1461","2.1560","2.2374","2.1155","29.50M","-0.45%"
"12/26/2024","2.1557","2.2974","2.3166","2.1289","34.19M","-6.18%"
"12/25/2024","2.2978","2.3233","2.3321","2.2621","30.35M","-1.10%"
"12/24/2024","2.3234","2.2614","2.3504","2.2139","35.06M","2.74%"
"12/23/2024","2.2615","2.2031","2.2781","2.1326","59.68M","2.68%"
"12/22/2024","2.2025","2.2382","2.2934","2.1605","37.21M","-1.49%"
"12/21/2024","2.2358","2.2797","2.3859","2.1932","62.16M","-1.93%"
"12/20/2024","2.2797","2.2397","2.3551","1.9620","155.75M","1.84%"
"12/19/2024","2.2385","2.3094","2.4308","2.1616","145.27M","-3.12%"
"12/18/2024","2.3107","2.5671","2.5900","2.2431","143.89M","-9.98%"
"12/17/2024","2.5669","2.4846","2.7265","2.4400","115.18M","3.33%"
"12/16/2024","2.4841","2.4471","2.5864","2.3413","108.94M","1.51%"
"12/15/2024","2.4471","2.4006","2.4730","2.3676","50.08M","1.98%"
"12/14/2024","2.3996","2.4223","2.5304","2.3555","73.17M","-0.94%"
"12/13/2024","2.4223","2.3386","2.4790","2.2859","82.22M","3.61%"
"12/12/2024","2.3380","2.3949","2.4837","2.3100","109.37M","-2.36%"
"12/11/2024","2.3946","2.3704","2.4707","2.2319","116.46M","1.00%"
"12/10/2024","2.3709","2.2110","2.4149","1.9018","244.40M","7.06%"
"12/09/2024","2.2145","2.6012","2.6063","1.9902","192.69M","-14.90%"
"12/08/2024","2.6022","2.6107","2.6465","2.4850","80.04M","-0.30%"
"12/07/2024","2.6099","2.4256","2.6192","2.3860","93.96M","7.64%"
"12/06/2024","2.4246","2.2437","2.4636","2.2283","103.92M","7.98%"
"12/05/2024","2.2454","2.3576","2.4935","2.1751","193.72M","-4.76%"
"12/04/2024","2.3576","2.5112","2.6776","2.2894","166.03M","-6.03%"
"12/03/2024","2.5089","2.7233","2.9051","2.2979","359.96M","-7.92%"
"12/02/2024","2.7248","2.2961","2.8694","2.2165","471.00M","18.61%"
"12/01/2024","2.2973","1.9510","2.3511","1.8485","188.06M","17.71%"
"11/30/2024","1.9516","1.8004","1.9569","1.7647","162.34M","8.32%"
"11/29/2024","1.8017","1.5425","1.8147","1.5237","146.32M","16.80%"
"11/28/2024","1.5425","1.4697","1.5461","1.4317","82.21M","4.93%"
"11/27/2024","1.4700","1.3982","1.5206","1.3529","107.87M","5.12%"
"11/26/2024","1.3984","1.4137","1.4584","1.2852","156.08M","-1.15%"
"11/25/2024","1.4147","1.4340","1.5384","1.3567","170.09M","-1.22%"
"11/24/2024","1.4321","1.4681","1.5123","1.2813","166.38M","-2.48%"
"11/23/2024","1.4685","1.4726","1.6315","1.4221","224.00M","-0.24%"
"11/22/2024","1.4720","1.2472","1.4986","1.2472","360.84M","18.07%"
"11/21/2024","1.2467","1.1039","1.2632","1.0780","187.12M","12.91%"
"11/20/2024","1.1042","1.1004","1.1496","1.0560","124.39M","0.33%"
"11/19/2024","1.1006","1.1140","1.1480","1.0691","121.34M","-1.24%"
"11/18/2024","1.1144","1.0549","1.1862","1.0548","240.65M","5.72%"
"11/17/2024","1.0541","1.1204","1.1593","1.0039","328.64M","-5.90%"
"11/16/2024","1.1202","0.8915","1.2665","0.8781","528.81M","25.51%"
"11/15/2024","0.8925","0.7737","0.9264","0.7704","342.51M","15.38%"
"11/14/2024","0.7735","0.6899","0.8465","0.6826","297.79M","12.10%"
"11/13/2024","0.6900","0.7046","0.7470","0.6410","224.93M","-2.02%"
"11/12/2024","0.7042","0.6206","0.7393","0.5973","324.04M","13.45%"
"11/11/2024","0.6207","0.5887","0.6323","0.5703","94.51M","5.51%"
"11/10/2024","0.5883","0.5592","0.6182","0.5555","138.72M","5.20%"
"11/09/2024","0.5592","0.5536","0.5615","0.5438","34.60M","1.03%"
"11/08/2024","0.5535","0.5556","0.5600","0.5413","36.22M","-0.38%"
"11/07/2024","0.5556","0.5418","0.5781","0.5378","64.95M","2.53%"
"11/06/2024","0.5419","0.5142","0.5468","0.5140","63.02M","5.43%"
