"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","0.6154","0.6208","0.6285","0.6061","25.42M","-0.89%"
"12/30/2023","0.6209","0.6228","0.6296","0.6158","21.65M","-0.31%"
"12/29/2023","0.6228","0.6347","0.6363","0.6129","46.80M","-1.87%"
"12/28/2023","0.6347","0.6342","0.6570","0.6251","62.46M","0.09%"
"12/27/2023","0.6341","0.6219","0.6417","0.6130","53.66M","1.96%"
"12/26/2023","0.6219","0.6459","0.6465","0.6006","64.42M","-3.70%"
"12/25/2023","0.6458","0.6122","0.6486","0.6083","60.21M","5.52%"
"12/24/2023","0.6120","0.6194","0.6292","0.6043","30.57M","-1.21%"
"12/23/2023","0.6195","0.6244","0.6248","0.6110","16.11M","-0.78%"
"12/22/2023","0.6244","0.6241","0.6307","0.6156","36.36M","0.10%"
"12/21/2023","0.6238","0.6169","0.6247","0.6106","30.81M","1.12%"
"12/20/2023","0.6169","0.6045","0.6262","0.6012","50.64M","2.07%"
"12/19/2023","0.6044","0.6126","0.6168","0.5972","28.41M","-1.34%"
"12/18/2023","0.6126","0.6102","0.6143","0.5806","70.95M","0.39%"
"12/17/2023","0.6102","0.6202","0.6234","0.6087","22.88M","-1.61%"
"12/16/2023","0.6202","0.6154","0.6258","0.6102","19.30M","0.76%"
"12/15/2023","0.6155","0.6316","0.6437","0.6135","44.70M","-2.53%"
"12/14/2023","0.6315","0.6276","0.6378","0.6015","47.87M","0.65%"
"12/13/2023","0.6274","0.6190","0.6349","0.5938","65.22M","1.36%"
"12/12/2023","0.6190","0.6188","0.6263","0.6066","43.95M","0.08%"
"12/11/2023","0.6185","0.6618","0.6628","0.5871","100.81M","-6.53%"
"12/10/2023","0.6617","0.6589","0.6712","0.6472","29.56M","0.49%"
"12/09/2023","0.6585","0.6721","0.6998","0.6535","85.44M","-2.01%"
"12/08/2023","0.6720","0.6432","0.6755","0.6375","58.96M","4.48%"
"12/07/2023","0.6432","0.6395","0.6543","0.6221","76.26M","0.50%"
"12/06/2023","0.6400","0.6209","0.6434","0.6127","107.12M","3.08%"
"12/05/2023","0.6209","0.6245","0.6305","0.6080","54.37M","-0.59%"
"12/04/2023","0.6246","0.6229","0.6435","0.5762","90.26M","0.27%"
"12/03/2023","0.6229","0.6208","0.6340","0.6171","31.51M","0.35%"
"12/02/2023","0.6207","0.6124","0.6228","0.6109","19.23M","1.34%"
"12/01/2023","0.6125","0.6062","0.6143","0.6032","26.11M","1.02%"
"11/30/2023","0.6063","0.6091","0.6097","0.5980","40.95M","-0.46%"
"11/29/2023","0.6091","0.6107","0.6168","0.6042","43.27M","-0.23%"
"11/28/2023","0.6105","0.6038","0.6137","0.5955","37.00M","1.13%"
"11/27/2023","0.6037","0.6158","0.6168","0.5943","40.06M","-1.98%"
"11/26/2023","0.6159","0.6226","0.6370","0.6076","41.70M","-1.08%"
"11/25/2023","0.6226","0.6209","0.6233","0.6157","18.29M","0.21%"
"11/24/2023","0.6213","0.6207","0.6258","0.6158","41.75M","0.10%"
"11/23/2023","0.6207","0.6110","0.6237","0.6061","50.95M","1.60%"
"11/22/2023","0.6109","0.5784","0.6161","0.5784","58.08M","5.56%"
"11/21/2023","0.5787","0.6122","0.6177","0.5732","88.25M","-5.46%"
"11/20/2023","0.6121","0.6257","0.6283","0.6069","44.05M","-2.17%"
"11/19/2023","0.6257","0.6107","0.6286","0.6014","28.22M","2.51%"
"11/18/2023","0.6104","0.6133","0.6143","0.5897","23.71M","-0.46%"
"11/17/2023","0.6132","0.6118","0.6241","0.5861","44.03M","0.23%"
"11/16/2023","0.6118","0.6486","0.6525","0.6031","51.37M","-5.60%"
"11/15/2023","0.6481","0.6294","0.6503","0.6251","47.83M","2.95%"
"11/14/2023","0.6295","0.6703","0.6716","0.5944","121.58M","-6.02%"
"11/13/2023","0.6698","0.6613","0.7510","0.6401","147.81M","1.33%"
"11/12/2023","0.6610","0.6627","0.6708","0.6459","21.22M","-0.26%"
"11/11/2023","0.6627","0.6596","0.6871","0.6413","53.53M","0.47%"
"11/10/2023","0.6596","0.6666","0.6710","0.6389","83.19M","-1.05%"
"11/09/2023","0.6666","0.6870","0.7071","0.6139","191.30M","-2.99%"
"11/08/2023","0.6871","0.6851","0.6990","0.6726","127.55M","0.30%"
"11/07/2023","0.6851","0.7148","0.7154","0.6538","214.92M","-4.15%"
"11/06/2023","0.7147","0.6606","0.7321","0.6588","215.13M","8.19%"
"11/05/2023","0.6606","0.6150","0.6627","0.6140","129.51M","7.40%"
"11/04/2023","0.6151","0.6120","0.6181","0.6087","49.46M","0.50%"
"11/03/2023","0.6120","0.6054","0.6149","0.5914","91.38M","1.09%"
"11/02/2023","0.6054","0.6088","0.6249","0.5875","116.60M","-0.53%"
"11/01/2023","0.6087","0.5994","0.6166","0.5804","116.63M","1.53%"
"10/31/2023","0.5995","0.5781","0.6180","0.5627","124.16M","3.73%"
"10/30/2023","0.5779","0.5560","0.5839","0.5496","76.44M","3.94%"
"10/29/2023","0.5560","0.5446","0.5613","0.5407","28.91M","2.10%"
"10/28/2023","0.5446","0.5430","0.5503","0.5407","20.35M","0.29%"
"10/27/2023","0.5430","0.5534","0.5587","0.5363","54.35M","-1.90%"
"10/26/2023","0.5535","0.5553","0.5695","0.5433","61.86M","-0.32%"
"10/25/2023","0.5553","0.5587","0.5639","0.5409","57.04M","-0.65%"
"10/24/2023","0.5589","0.5477","0.5860","0.5361","138.78M","2.06%"
"10/23/2023","0.5476","0.5225","0.5532","0.5199","72.66M","4.79%"
"10/22/2023","0.5226","0.5210","0.5240","0.5126","26.65M","0.29%"
